                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6727,                 5.9802,                 4.2285,                      0,                      0,                      0,                      0,                 6.2229,                 6.3977,                 4.1592,                      0,                      0,                      0
                      2,                 5.9241,                 5.9787,                 4.3446,                      0,                      0,                      0,                      0,                 6.2231,                 6.3984,                 4.1596,             1.2253e-05,             1.2253e-05,             1.2253e-05
                      3,                 6.3113,                 6.6066,                 4.3567,                      0,                      0,                      0,                      0,                 6.2233,                 6.3991,                 4.1599,              2.401e-05,              2.401e-05,              2.401e-05
                      4,                 5.7071,                 5.5346,                 4.1959,                      0,                      0,                      0,                      0,                 6.2234,                 6.3998,                 4.1602,             3.5272e-05,             3.5272e-05,             3.5272e-05
                      5,                 6.0659,                 5.8338,                 4.2485,                      0,                      0,                      0,                      0,                 6.2236,                 6.4006,                 4.1605,              4.604e-05,              4.604e-05,              4.604e-05
                      6,                  6.227,                 6.1866,                  4.346,                      0,                      0,                      0,                      0,                 6.2237,                 6.4016,                 4.1608,             5.6313e-05,             5.6313e-05,             5.6313e-05
                      7,                 6.2199,                 6.0315,                 4.2247,                      0,                      0,                      0,                      0,                 6.2238,                 6.4027,                 4.1611,              6.609e-05,              6.609e-05,              6.609e-05
                      8,                 6.3073,                 6.2261,                 4.2551,                      0,                      0,                      0,                      0,                  6.224,                 6.4036,                 4.1614,             7.5373e-05,             7.5373e-05,             7.5373e-05
                      9,                 5.7684,                 5.6823,                 4.2261,                      0,                      0,                      0,                      0,                 6.2241,                 6.4046,                 4.1616,              8.416e-05,              8.416e-05,              8.416e-05
                     10,                 5.9152,                 5.6232,                 4.2909,                      0,                      0,                      0,                      0,                 6.2242,                 6.4056,                 4.1619,             9.2453e-05,             9.2453e-05,             9.2453e-05
                     11,                 5.9092,                 5.8452,                 4.2497,                      0,                      0,                      0,                      0,                 6.2243,                 6.4066,                 4.1623,             0.00010025,             0.00010025,             0.00010025
