                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 62.143,                      0,                      0,                      0,                      0,                      0,                      0,                 16.484,                      0,                      0,                      0,                      0
                      2,                      0,                  62.18,                      0,                      0,                      0,                      0,                      0,                      0,                 16.493,                      0,             1.2253e-05,             1.2253e-05,             1.2253e-05
                      3,                      0,                 62.044,                      0,                      0,                      0,                      0,                      0,                      0,                 16.502,                      0,              2.401e-05,              2.401e-05,              2.401e-05
                      4,                      0,                  61.86,                      0,                      0,                      0,                      0,                      0,                      0,                  16.51,                      0,             3.5272e-05,             3.5272e-05,             3.5272e-05
                      5,                      0,                 61.667,                      0,                      0,                      0,                      0,                      0,                      0,                 16.519,                      0,              4.604e-05,              4.604e-05,              4.604e-05
                      6,                      0,                 61.353,                      0,                      0,                      0,                      0,                      0,                      0,                 16.527,                      0,             5.6313e-05,             5.6313e-05,             5.6313e-05
                      7,                      0,                 61.145,                      0,                      0,                      0,                      0,                      0,                      0,                 16.532,                      0,              6.609e-05,              6.609e-05,              6.609e-05
                      8,                      0,                 60.911,                      0,                      0,                      0,                      0,                      0,                      0,                 16.536,                      0,             7.5373e-05,             7.5373e-05,             7.5373e-05
                      9,                      0,                 60.581,                      0,                      0,                      0,                      0,                      0,                      0,                 16.535,                      0,              8.416e-05,              8.416e-05,              8.416e-05
                     10,                      0,                 60.391,                      0,                      0,                      0,                      0,                      0,                      0,                 16.534,                      0,             9.2453e-05,             9.2453e-05,             9.2453e-05
                     11,                      0,                 60.055,                      0,                      0,                      0,                      0,                      0,                      0,                 16.532,                      0,             0.00010025,             0.00010025,             0.00010025
                     12,                      0,                 59.819,                      0,                      0,                      0,                      0,                      0,                      0,                 16.527,                      0,             0.00010755,             0.00010755,             0.00010755
                     13,                      0,                 59.551,                      0,                      0,                      0,                      0,                      0,                      0,                 16.518,                      0,             0.00011436,             0.00011436,             0.00011436
                     14,                      0,                  59.22,                      0,                      0,                      0,                      0,                      0,                      0,                 16.508,                      0,             0.00012067,             0.00012067,             0.00012067
                     15,                      0,                 58.931,                      0,                      0,                      0,                      0,                      0,                      0,                 16.495,                      0,             0.00012649,             0.00012649,             0.00012649
                     16,                      0,                  58.46,                      0,                      0,                      0,                      0,                      0,                      0,                 16.481,                      0,             0.00013181,             0.00013181,             0.00013181
                     17,                      0,                  58.14,                      0,                      0,                      0,                      0,                      0,                      0,                 16.466,                      0,             0.00013664,             0.00013664,             0.00013664
                     18,                      0,                 57.858,                      0,                      0,                      0,                      0,                      0,                      0,                 16.466,                      0,             0.00014097,             0.00014097,             0.00014097
                     19,                      0,                 57.679,                      0,                      0,                      0,                      0,                      0,                      0,                 16.451,                      0,             0.00014481,             0.00014481,             0.00014481
                     20,                      0,                  57.15,                      0,                      0,                      0,                      0,                      0,                      0,                 16.451,                      0,             0.00014815,             0.00014815,             0.00014815
                     21,                      0,                  57.18,                      0,                      0,                      0,                      0,                      0,                      0,                 16.432,                      0,               0.000151,               0.000151,               0.000151
                     22,                      0,                 56.757,                      0,                      0,                      0,                      0,                      0,                      0,                 16.432,                      0,             0.00015335,             0.00015335,             0.00015335
