                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9736,                 5.0193,                  1.906,                      0,                      0,                      0,                      0,                 2.6936,                  5.069,                 1.8552,                      0,                      0,                      0
                      2,                  3.053,                 4.7341,                 2.0833,                      0,                      0,                      0,                      0,                 2.6586,                 5.0527,                 1.8438,             1.2459e-05,             1.2459e-05,             1.2459e-05
                      3,                 3.1328,                 4.8073,                 2.0158,                      0,                      0,                      0,                      0,                 2.6989,                 5.0387,                 1.8184,             2.4835e-05,             2.4835e-05,             2.4835e-05
                      4,                 2.7721,                 4.6473,                  1.865,                      0,                      0,                      0,                      0,                 2.7349,                 4.8999,                 1.7378,             3.7129e-05,             3.7129e-05,             3.7129e-05
                      5,                 3.2777,                 4.5981,                 2.0486,                      0,                      0,                      0,                      0,                  2.426,                 4.7323,                 1.5846,              4.934e-05,              4.934e-05,              4.934e-05
                      6,                 2.3349,                 4.5484,                 1.5455,                      0,                      0,                      0,                      0,                 2.4947,                 4.5729,                  1.551,             6.1469e-05,             6.1469e-05,             6.1469e-05
                      7,                 2.4054,                 4.7365,                 1.6656,                      0,                      0,                      0,                      0,                 2.3728,                 4.5166,                 1.4809,             7.3515e-05,             7.3515e-05,             7.3515e-05
                      8,                 2.2307,                 4.4257,                 1.5362,                      0,                      0,                      0,                      0,                 2.1881,                 4.5081,                 1.3711,             8.5479e-05,             8.5479e-05,             8.5479e-05
                      9,                 1.8791,                 4.3964,                 1.4232,                      0,                      0,                      0,                      0,                 2.0122,                 4.4634,                 1.3128,              9.736e-05,              9.736e-05,              9.736e-05
                     10,                 1.7477,                 4.1293,                 1.3437,                      0,                      0,                      0,                      0,                 1.8364,                 4.4672,                 1.2571,             0.00010916,             0.00010916,             0.00010916
                     11,                 1.7539,                 4.1226,                 1.3296,                0.00133,                0.16667,                0.03717,                0.00615,                 1.6963,                 4.4095,                 1.1998,             0.00012087,             0.00012087,             0.00012087
                     12,                 1.5553,                 4.0272,                 1.2383,                0.00128,                0.16667,                0.04178,                0.02104,                  1.618,                  4.394,                 1.1574,             0.00013251,             0.00013251,             0.00013251
                     13,                 1.3387,                 3.7118,                 1.1275,                0.00128,                0.16667,                0.06566,                0.04259,                  1.474,                 4.3353,                 1.1054,             0.00014406,             0.00014406,             0.00014406
                     14,                 1.3148,                  3.716,                 1.1142,                0.00129,                0.16667,                0.08334,                0.04459,                 1.4092,                 4.2505,                  1.077,             0.00015553,             0.00015553,             0.00015553
                     15,                 1.3317,                 3.6301,                 1.1242,                0.00194,                   0.25,                0.08682,                0.04212,                 1.4634,                 4.1876,                 1.0549,             0.00016692,             0.00016692,             0.00016692
                     16,                 1.4089,                 3.4735,                 1.0779,                0.00221,                   0.25,                0.11349,                0.05333,                 1.5019,                 4.1177,                 1.0466,             0.00017822,             0.00017822,             0.00017822
